Month;monthly_avg_max_temp_celsius;monthly_avg_min_temp_celsius;monthly_precipitation_ml;number_of_fires;fire_size_ha;forest_ha;   savannas_ha;shrublands_grasslands_ha;croplands_ha;other_land_ha;seasonality
Jan;35.8;24.1;90.2;260;134.12;171.73;15111.97;9981;21.47;279.06;outside fire season
Feb;34.5;22.2;197.4;232;124.19;321.99;30760.59;12149.68;21.47;386.39;fire season
Mar;31.6;21.3;316;45;236.86;21.47;5516.73;1931.9;0;0;outside fire season
Apr;30.0;20.4;236.6;31;185.05;0;7985.3;1245.02;0;42.93;outside fire season
May;26.6;18.2;171.6;52;81.09;21.47;2833.49;1266,49;0;0;outside fire season
Jun;27.1;16.4;0.2;69;62.97;472.25;1481.14;2039,2;0;0;outside fire season
Jul;23.4;11.6;27.8;108;87.61;558.11;4035.58;3777.99;0;0;outside fire season
Aug;28.5;12.8;6.4;157;120.94;8393.15;62143.69;36513.44;42.93;0;fire season
Set;31.4;17.3;2.8;263;290.49;72855.15;37608.2;135836.01;0;643.98;fire season
Oct;33.3;20.0;40.1;125;257.9;7920.9;21680.53;16829.24;0;965.96;fire season
Nov;36.6;22.4;236.9;53;96.94;128.79;4057.05;2940.82;0;42.93;outside fire season
Dec;32.6;21.5;120.9;28;142.19;0;858.63;1266.49;0;0;outside fire season
