Month,Forest [ha],Savannas [ha],Shrublands/Grasslands [ha],Croplands [ha],Other [ha]
Jan,171.73,15111.97,9981.63,21.47,279.06
Feb,321.99,30760.59,12149.68,21.47,386.39
Mar,21.47,5516.73,1931.93,0.00,0.00
Apr,0.00,7985.30,1245.02,0.00,42.93
May,21.47,2833.49,1266.49,0.00,0.00
Jun,472.25,1481.14,2039.26,0.00,0.00
Jul,558.11,4035.58,3777.99,0.00,0.00
Aug,8393.15,62143.69,36513.44,42.93,0.00
Sep,72855.15,37608.20,135836.01,0.00,643.98
Oct,7920.90,21680.53,16829.24,0.00,965.96
Nov,128.79,4057.05,2940.82,0.00,42.93
Dec,0.00,858.63,1266.49,0.00,0.00
