Month,Forest [ha],Savannas [ha],Shrublands/Grasslands [ha],Croplands [ha],Other [ha]
Jan,450.78,108509.96,28055.89,15133.44,407.85
Feb,1609.94,121926.13,19770.06,7856.51,558.11
Mar,515.18,27025.53,5860.18,2940.82,107.33
Apr,85.86,16271.13,3005.22,2339.78,64.40
May,257.59,7942.37,3155.48,2189.52,0.00
Jun,1695.80,50187.20,11527.17,5881.65,107.33
Jul,17387.35,218737.19,97476.50,13738.16,493.71
Aug,16185.26,294619.03,94535.68,31533.36,1202.09
Sep,135084.70,388424.87,225992.65,35354.28,2103.66
Oct,23633.92,245397.80,38702.96,5538.19,1889.00
Nov,5559.66,114649.20,17387.35,3906.79,837.17
Dec,665.44,35848.00,5645.52,214.66,386.39
